"","time"
"2345",767
"2346",851
"2347",970
"2348",431
"2349",269
"2350",95
"2351",568
"2352",718
"2353",649
"2354",543
"2355",520
"2356",320
"2357",596
"2358",751
"2359",563
"2360",678
"2361",280
"2362",942
"2363",117
"2364",810
"2365",988
"2366",1465
"2367",468
"2368",105
"2369",1656
"2370",532
"2371",792
"2372",488
"2373",485
"2374",1370
"2375",829
"2376",1402
"2377",1063
"2378",1276
"2379",410
"2380",1191
"2381",1896
"2382",1116
"2383",816
"2384",1088
"2385",968
"2386",877
"2387",106
"2388",830
"2389",1267
"2390",530
"2391",1421
"2392",438
"2393",830
"2394",1473
"2395",711
"2396",320
"2397",815
"2398",1264
"2399",716
"2400",1183
"2401",1340
"2402",773
"2403",1237
"2404",555
"2405",1011
"2406",1143
"2407",1208
"2408",1422
"2409",1776
"2410",1136
"2411",1137
"2412",148
"2413",1085
"2414",1367
"2415",1171
"2416",797
"2417",844
"2418",979
"2419",1580
"2420",1186
"2421",1408
"2422",1530
"2423",1478
"2424",1237
"2425",775
"2426",963
"2427",934
"2428",1348
"2429",560
"2430",821
"2431",725
"2432",901
"2433",926
"2434",428
"2435",657
"2436",360
"2437",726
"2438",1043
"2439",202
"2440",580
"2441",843
"2442",468
"2443",598
"2444",871
"2445",1497
"2446",1565
"2447",619
"2448",1059
"2449",1108
"2450",1379
"2451",786
"2452",1383
"2453",1308
"2454",1268
"2455",770
"2456",1323
"2457",748
"2458",372
"2459",1252
"2460",1121
"2461",876
"2462",895
"2463",796
"2464",828
"2465",757
"2466",1363
"2467",89
"2468",1223
"2469",985
"2470",1682
"2471",1249
"2472",893
"2473",865
"2474",990
"2475",1165
"2476",1627
"2477",1003
"2478",947
"2479",1065
"2480",1166
"2481",152
"2482",1005
"2483",1074
"2484",805
"2485",1012
"2486",674
"2487",771
"2488",662
"2489",1023
"2490",1477
"2491",96
"2492",1128
"2493",1073
"2494",147
"2495",1220
"2496",1158
"2497",1088
"2498",909
"2499",976
"2500",900
"2501",1598
"2502",720
"2503",745
"2504",815
"2505",796
"2506",923
"2507",478
"2508",941
"2509",795
"2510",961
"2511",514
"2512",883
"2513",636
"2514",978
"2515",892
"2516",678
"2517",364
"2518",1043
"2519",735
"2520",979
"2521",966
"2522",936
"2523",723
"2524",709
"2525",120
"2526",854
"2527",998
"2528",786
"2529",1167
"2530",815
"2531",549
"2532",1136
"2533",1129
"2534",778
"2535",951
"2536",800
"2537",688
"2538",697
"2539",630
"2540",730
"2541",969
"2542",969
"2543",795
"2544",1167
"2545",560
"2546",659
"2547",827
"2548",776
"2549",550
"2550",754
"2551",861
"2552",1367
"2553",812
"2554",536
"2555",1299
"2556",1274
"2557",1307
"2558",773
"2559",441
"2560",1037
"2561",833
"2562",808
"2563",863
"2564",636
"2565",1201
"2566",1015
"2567",1223
"2568",1135
"2569",1056
"2570",1153
"2571",862
"2572",844
"2573",687
"2574",880
"2575",868
"2576",933
"2577",858
"2578",1484
"2579",785
"2580",1030
"2581",1075
"2582",915
"2583",395
"2584",1367
"2585",932
"2586",1041
"2587",1093
"2588",942
"2589",888
"2590",1348
"2591",894
"2592",1220
"2593",1964
"2594",1518
"2595",1148
"2596",977
"2597",1214
"2598",1191
"2599",1094
"2600",1268
"2601",992
"2602",956
"2603",1272
"2604",1315
"2605",1044
"2606",1416
"2607",1409
"2608",502
"2609",1597
"2610",117
"2611",1345
"2612",728
"2613",946
"2614",1219
"2615",1349
"2616",138
"2617",1632
"2618",1258
"2619",562
"2620",948
"2621",1586
"2622",1162
"2623",952
"2624",1485
"2625",1366
"2626",1329
"2627",809
"2628",1516
"2629",1541
"2630",1447
"2631",714
"2632",1053
"2633",1116
"2634",1308
"2635",1303
"2636",1225
"2637",1588
"2638",1042
"2639",1341
"2640",662
"2641",1511
"2642",1064
"2643",669
"2644",1630
"2645",1351
"2646",595
"2647",1284
"2648",172
"2649",914
"2650",975
"2651",1238
"2652",564
"2653",519
"2654",997
"2655",1292
"2656",552
"2657",629
"2658",806
"2659",743
"2660",1041
"2661",1009
"2662",666
"2663",542
"2664",1013
"2665",1170
"2666",1308
"2667",812
"2668",883
"2669",1178
"2670",1084
"2671",1116
"2672",1090
"2673",1467
"2674",1131
"2675",973
"2676",739
"2677",678
"2678",985
"2679",806
"2680",621
"2681",712
"2682",1035
"2683",1092
"2684",1041
"2685",1348
"2686",969
"2687",958
"2688",1006
"2689",870
"2690",186
"2691",51
"2692",764
"2693",307
"2694",135
"2695",1085
"2696",74
"2697",5119
"2698",749
"2699",1249
"2700",1088
"2701",288
"2702",1115
"2703",929
"2704",2535
"2705",45
"2706",605
"2707",723
"2708",1083
"2709",1745
"2710",509
"2711",522
"2712",68
"2713",602
"2714",762
"2715",258
"2716",487
"2717",1523
"2718",386
"2719",282
"2720",1093
"2721",104
"2722",378
"2723",880
"2724",1103
"2725",982
"2726",929
"2727",1611
"2728",767
"2729",1016
"2730",1551
"2731",98
"2732",1265
"2733",872
"2734",781
"2735",919
"2736",323
"2737",871
"2738",360
"2739",1085
"2740",1423
"2741",744
"2742",1105
"2743",1111
"2744",615
"2745",937
"2746",1114
"2747",676
"2748",1061
"2749",792
"2750",843
"2751",975
"2752",753
"2753",1384
"2754",806
"2755",1433
"2756",1043
"2757",523
"2758",1136
"2759",1466
"2760",563
"2761",1442
"2762",1208
"2763",1381
"2764",1296
"2765",1011
"2766",1220
"2767",1001
"2768",559
"2769",790
"2770",118
"2771",71
"2772",1309
"2773",622
"2774",707
"2775",1143
"2776",528
"2777",989
"2778",1060
"2779",502
"2780",1232
"2781",908
"2782",931
"2783",1324
"2784",983
"2785",635
"2786",845
"2787",958
"2788",566
"2789",953
"2790",226
"2791",489
"2792",356
"2793",859
"2794",423
"2795",2038
"2796",645
"2797",629
"2798",1557
"2799",403
"2800",415
"2801",324
"2802",1027
"2803",650
"2804",1107
"2805",1079
"2806",944
"2807",326
"2808",26457
"2809",843
"2810",5804
"2811",143
"2812",1126
"2813",1034
"2814",693
"2815",947
"2816",1021
"2817",627
"2818",1604
"2819",1905
"2820",1589
"2821",1301
"2822",968
"2823",1455
"2824",1142
"2825",588
"2826",1179
"2827",738
"2828",1142
"2829",1123
"2830",1134
"2831",770
"2832",418
"2833",805
"2834",886
"2835",1782
"2836",864
"2837",1396
"2838",885
"2839",1415
"2840",1307
"2841",245
"2842",941
"2843",1063
"2844",790
"2845",376
"2846",1033
"2847",422
"2848",792
"2849",222
"2850",962
"2851",819
"2852",986
"2853",567
"2854",837
"2855",902
"2856",722
"2857",995
"2858",1005
"2859",937
"2860",807
"2861",479
"2862",1079
"2863",84
"2864",1392
"2865",1999
"2866",405
"2867",760
"2868",937
"2869",1041
"2870",1345
"2871",720
"2872",940
"2873",1375
"2874",1115
"2875",1295
"2876",1134
"2877",987
"2878",1292
"2879",1361
"2880",880
"2881",1387
"2882",1199
"2883",1301
"2884",117
"2885",142
"2886",962
"2887",1050
"2888",1038
"2889",624
"2890",1121
"2891",594
"2892",968
"2893",1308
"2894",1241
"2895",1537
"2896",178
"2897",1304
"2898",109
"2899",1196
"2900",1627
"2901",1131
"2902",643
"2903",1297
"2904",1155
"2905",238
"2906",1218
"2907",1015
"2908",788
"2909",1272
"2910",859
"2911",205
"2912",594
"2913",870
"2914",841
"2915",701
"2916",497
"2917",1474
"2918",36
"2919",408
"2920",134
"2921",1005
"2922",1061
"2923",853
"2924",985
"2925",1038
"2926",1286
"2927",995
"2928",1128
"2929",1061
"2930",150
"2931",965
"2932",796
"2933",946
"2934",616
"2935",313
"2936",1163
"2937",2069
"2938",1817
"2939",2035
"2940",1760
"2941",1450
"2942",391
"2943",1270
"2944",1078
"2945",1511
"2946",1040
"2947",1109
"2948",846
"2949",1715
"2950",1150
"2951",1153
"2952",753
"2953",1315
"2954",547
"2955",1037
"2956",748
"2957",939
"2958",751
"2959",941
"2960",763
"2961",869
"2962",777
"2963",2327
"2964",1289
"2965",1590
"2966",1002
"2967",2202
"2968",2195
"2969",2230
"2970",1335
"2971",275
"2972",912
"2973",1648
"2974",1234
"2975",1106
"2976",972
"2977",864
"2978",994
"2979",757
"2980",1150
"2981",1076
"2982",1356
"2983",1154
"2984",1192
"2985",727
"2986",1166
"2987",7
"2988",1285
"2989",225
"2990",1527
"2991",761
"2992",536
"2993",322
"2994",432
"2995",1061
"2996",126
"2997",1139
"2998",1075
"2999",1417
"3000",826
"3001",2137
"3002",1677
"3003",667
"3004",1890
"3005",1216
"3006",726
"3007",860
"3008",587
"3009",147
"3010",324
"3011",1722
"3012",1892
"3013",1002
"3014",1378
"3015",1377
"3016",1160
"3017",1014
"3018",1699
"3019",657
"3020",71
"3021",3865
"3022",1100
"3023",1262
"3024",1410
"3025",502
"3026",1663
"3027",587
"3028",859
"3029",1437
"3030",471
"3031",1962
"3032",108
"3033",1181
"3034",969
"3035",323
"3036",413
"3037",5
"3038",90
"3039",98
"3040",880
"3041",1577
"3042",833
"3043",1367
"3044",1212
"3045",75
"3046",758
"3047",918
"3048",907
"3049",1332
"3050",427
"3051",895
"3052",1503
"3053",64
"3054",391
"3055",2211
"3056",443
"3057",997
"3058",2452
"3059",423
"3060",868
"3061",743
"3062",1008
"3063",1179
"3064",964
"3065",1367
"3066",119
"3067",1145
"3068",967
"3069",1032
"3070",1149
"3071",1173
"3072",87
"3073",440
"3074",1196
"3075",581
"3076",1677
"3077",2033
"3078",2334
"3079",1594
"3080",332
"3081",1605
"3082",1550
"3083",1393
"3084",1112
"3085",1514
"3086",572
"3087",617
"3088",296
"3089",1013
"3090",1252
"3091",760
"3092",1421
"3093",728
"3094",1485
"3095",611
"3096",973
"3097",1498
"3098",1049
"3099",463
"3100",580
"3101",862
"3102",737
"3103",528
"3104",838
"3105",1379
"3106",707
"3107",651
"3108",340
"3109",632
"3110",804
"3111",510
"3112",1965
"3113",1322
"3114",1473
"3115",847
"3116",499
"3117",1735
"3118",1527
"3119",1354
"3120",992
"3121",1267
"3122",1214
"3123",1456
"3124",1802
"3125",1386
"3126",2080
"3127",349
"3128",857
"3129",1108
"3130",919
"3131",806
"3132",655
"3133",883
"3134",515
"3135",746
"3136",831
"3137",960
"3138",801
"3139",1071
"3140",909
"3141",856
"3142",1091
"3143",1366
"3144",770
"3145",909
"3146",999
"3147",550
"3148",736
"3149",743
"3150",723
"3151",725
"3152",978
"3153",481
"3154",901
"3155",486
"3156",904
"3157",1999
"3158",1385
"3159",1050
"3160",531
"3161",1532
"3162",1223
"3163",2268
"3164",675
"3165",133
"3166",173
"3167",906
"3168",1209
"3169",537
"3170",101
"3171",1290
"3172",995
"3173",1197
"3174",1520
"3175",831
"3176",1624
"3177",1279
"3178",832
"3179",1253
"3180",1342
"3181",1250
"3182",286
"3183",71
"3184",232
"3185",1111
"3186",15
"3187",906
"3188",7577
"3189",718
"3190",142
"3191",1368
"3192",461
"3193",180
"3194",603
"3195",476
"3196",898
"3197",842
"3198",121778
"3199",183
"3200",337
"3201",1358
"3202",942
"3203",3161
"3204",11986
"3205",1037
"3206",767
"3207",1349
"3208",1349
"3209",1439
"3210",1550
"3211",1670
"3212",1210
"3213",166
"3214",1240
"3215",1363
"3216",1206
"3217",857
"3218",1082
"3219",1032
"3220",2392
"3221",1084
"3222",251
"3223",1107
"3224",202
"3225",1255
"3226",275
"3227",845
"3228",338
"3229",172
"3230",584
"3231",705
"3232",412
"3233",172
"3234",1119
"3235",790
"3236",619
"3237",1159
"3238",402
"3239",527
"3240",84
"3241",170
"3242",119
"3243",484
"3244",1165
"3245",1397
"3246",688
"3247",69
"3248",823
"3249",101
"3250",720
"3251",102
"3252",997
"3253",563
"3254",854
"3255",787
"3256",1916
"3257",1370
"3258",1754
"3259",99
"3260",588
"3261",625
"3262",65
"3263",797
"3264",979
"3265",835
"3266",82
"3267",686
"3268",981
"3269",1118
"3270",122
"3271",1522
"3272",1128
"3273",397
"3274",938
"3275",1292
"3276",653
"3277",1341
"3278",1645
"3279",1136
"3280",1348
"3281",905
"3282",498
"3283",82
"3284",497
"3285",85
"3286",1620
"3287",182
"3288",111
"3289",1853
"3290",128
"3291",714
"3292",353
"3293",1437
"3294",85
"3295",399
"3296",1095
"3297",586
"3298",1034
"3299",1039
"3300",1442
"3301",1172
"3302",1324
"3303",528
"3304",1342
"3305",1572
"3306",1168
"3307",1271
"3308",1629
"3309",163
"3310",1019
"3311",625
"3312",111
"3313",889
"3314",833
"3315",226
"3316",58
"3317",1208
"3318",544
"3319",217
"3320",1987
"3321",1348
"3322",124
"3323",1723
"3324",1326
"3325",1304
"3326",1913
"3327",1238
"3328",1571
"3329",1539
"3330",1046
"3331",989
"3332",1240
"3333",1117
"3334",620
"3335",1554
"3336",761
"3337",27942
"3338",416
"3339",103
"3340",978
"3341",438
"3342",1217
"3343",1182
"3344",843
"3345",876
"3346",1306
"3347",906
"3348",993
"3349",1257
"3350",1102
"3351",1555
"3352",1375
"3353",1668
"3354",1331
"3355",1218
"3356",537
