"","time"
"594",327
"595",1122
"596",1368
"597",468
"598",941
"599",8
"600",820
"601",856
"602",266
"603",948
"604",1238
"605",2371
"606",734
"607",567
"608",1114
"609",454
"610",829
"611",1133
"612",788
"613",1412
"614",640
"615",57
"616",294
"617",1087
"618",132
"619",828
"620",304
"621",111
"622",408
"623",1406
"624",1310
"625",876
"626",683
"627",1631
"628",837
"629",247
"630",988
"631",112
"632",1020
"633",112
"634",977
"635",122
"636",626
"637",809
"638",105
"639",199
"640",1163
"641",10357
"642",1251
"643",402
"644",1628
"645",6
"646",48
"647",1661
"648",1527
"649",658
"650",4
"651",220
"652",1722
"653",687
"654",1004
"655",581
"656",88
"657",127
"658",1228
"659",104
"660",316
"661",747
"662",76
"663",206
"664",542
"665",719
"666",1176
"667",1485
"668",397
"669",1710
"670",1680
"671",1683
"672",1056
"673",1366
"674",1221
"675",957
"676",1531
"677",1309
"678",1391
"679",1011
"680",574
"681",635
"682",4
"683",11
"684",874
"685",668
"686",873
"687",1405
"688",1215
"689",933
"690",1282
"691",1193
"692",928
"693",1321
"694",1092
"695",588
"696",1124
"697",789
"698",643
"699",1036
"700",832
"701",1141
"702",700
"703",916
"704",1298
"705",1065
"706",1599
"707",994
"708",933
"709",748
"710",942
"711",934
"712",887
"713",1151
"714",1030
"715",1160
"716",1148
"717",829
"718",1223
"719",565
"720",1081
"721",6
"722",402
"723",1242
"724",1160
"725",1013
"726",195
"727",92
"728",1052
"729",1128
"730",1010
"731",963
"732",617
"733",1018
"734",76
"735",1013
"736",812
"737",337
"738",560
"739",528
"740",95
"741",654
"742",302
"743",900
"744",948
"745",972
"746",558
"747",726
"748",762
"749",753
"750",851
"751",870
"752",1107
"753",1125
"754",965
"755",894
"756",681
"757",902
"758",381
"759",858
"760",227
"761",399
"762",542
"763",591
"764",1232
"765",608
"766",556
"767",1172
"768",798
"769",71
"770",941
"771",1552
"772",679
"773",735
"774",675
"775",569
"776",551
"777",1554
"778",470
"779",494
"780",1086
"781",217
"782",596
"783",143
"784",1589
"785",907
"786",805
"787",477
"788",979
"789",914
"790",1154
"791",549
"792",574
"793",1108
"794",738
"795",213
"796",227
"797",2776
"798",532
"799",624
"800",727
"801",452
"802",382
"803",465
"804",479
"805",533
"806",352
"807",616
"808",727
"809",818
"810",741
"811",833
"812",465
"813",170
"814",1330
"815",1222
"816",1063
"817",1572
"818",56
"819",739
"820",862
"821",1164
"822",174
"823",856
"824",101
"825",300
"826",1298
"827",1091
"828",750
"829",199
"830",1106
"831",859
"832",933
"833",563
"834",1664
"835",984
"836",835
"837",1147
"838",1740
"839",675
"840",1230
"841",1229
"842",990
"843",1468
"844",1623
"845",1221
"846",157
"847",846
"848",1048
"849",1202
"850",610
"851",668
"852",171
"853",840
"854",789
"855",1743
"856",816
"857",103
"858",646
"859",1050
"860",813
"861",762
"862",1130
"863",72
"864",922
"865",416
"866",569
"867",973
"868",1348
"869",999
"870",305
"871",109
"872",699
"873",781
"874",984
"875",585
"876",706
"877",583
"878",568
"879",989
"880",753
"881",523
"882",648
"883",743
"884",544
"885",741
"886",847
"887",229
"888",785
"889",1109
"890",762
"891",885
"892",119
"893",1325
"894",830
"895",863
"896",1661
"897",1216
"898",99
"899",348
